priority,score,system,year,project_document,why_it_matters,captures,unique_versions,mime_type,original,archive_exact,archive_history
HIGH,9,Contracts / Bids,2025,2019 09 Purchase of CCN for 2033 FM 257 1302 acres PDF,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/973/2019-09-Purchase-of-CCN-for-2033-FM-257-1302-acres-PDF,https://web.archive.org/web/20250930214729/https://www.copperascovetx.gov/DocumentCenter/View/973/2019-09-Purchase-of-CCN-for-2033-FM-257-1302-acres-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/973/2019-09-Purchase-of-CCN-for-2033-FM-257-1302-acres-PDF
HIGH,9,Contracts / Bids,2025,2019 48 Amending the fees schedule for the COCC PDF,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/492/2019-48-Amending-the-fees-schedule-for-the-COCC-PDF?bidId=,https://web.archive.org/web/20250925201648/https://www.copperascovetx.gov/DocumentCenter/View/492/2019-48-Amending-the-fees-schedule-for-the-COCC-PDF?bidId=,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/492/2019-48-Amending-the-fees-schedule-for-the-COCC-PDF?bidId=
HIGH,9,Contracts / Bids,2025,2019 52 Adopting a budget amendment for Fiscal Year 2019 2019 PDF,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/495/2019-52-Adopting-a-budget-amendment-for-Fiscal-Year-2019-2019-PDF?bidId=,https://web.archive.org/web/20250928085026/https://www.copperascovetx.gov/DocumentCenter/View/495/2019-52-Adopting-a-budget-amendment-for-Fiscal-Year-2019-2019-PDF?bidId=,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/495/2019-52-Adopting-a-budget-amendment-for-Fiscal-Year-2019-2019-PDF?bidId=
HIGH,9,Contracts / Bids,2025,2020 30 Approving the Purchase for an Appraisal Office PDF,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/951/2020-30-Approving-the-Purchase-for-an-Appraisal-Office-PDF,https://web.archive.org/web/20250925213429/https://www.copperascovetx.gov/DocumentCenter/View/951/2020-30-Approving-the-Purchase-for-an-Appraisal-Office-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/951/2020-30-Approving-the-Purchase-for-an-Appraisal-Office-PDF
HIGH,9,Contracts / Bids,2025,ADDENDUM 1 Copperas Cove Senior Center IFC Drawings Senior Center.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2025-10-54/ADDENDUM%201%20Copperas%20Cove%20Senior%20Center%20IFC%20Drawings%20Senior%20Center.pdf,https://web.archive.org/web/20250803033334/https://www.copperascovetx.gov/files/finance/bid_requests/2025-10-54/ADDENDUM%201%20Copperas%20Cove%20Senior%20Center%20IFC%20Drawings%20Senior%20Center.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2025-10-54/ADDENDUM%201%20Copperas%20Cove%20Senior%20Center%20IFC%20Drawings%20Senior%20Center.pdf
HIGH,9,Contracts / Bids,2025,ADDENDUM NO1.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2023-04-82/ADDENDUM%20NO1.pdf,https://web.archive.org/web/20250203062439/https://www.copperascovetx.gov/files/finance/bid_requests/2023-04-82/ADDENDUM%20NO1.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2023-04-82/ADDENDUM%20NO1.pdf
HIGH,9,Contracts / Bids,2025,Addendum 1 COURTS RENOVATION 2025 11 41.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2025-11-41/Addendum%201-%20COURTS%20RENOVATION%202025-11-41.pdf,https://web.archive.org/web/20250803021540/https://www.copperascovetx.gov/files/finance/bid_requests/2025-11-41/Addendum%201-%20COURTS%20RENOVATION%202025-11-41.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2025-11-41/Addendum%201-%20COURTS%20RENOVATION%202025-11-41.pdf
HIGH,9,Contracts / Bids,2025,Addendum 1 MEP.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2025-09-54/Addendum%201-MEP.pdf,https://web.archive.org/web/20250803030233/https://www.copperascovetx.gov/files/finance/bid_requests/2025-09-54/Addendum%201-MEP.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2025-09-54/Addendum%201-MEP.pdf
HIGH,9,Contracts / Bids,2025,Addendum 1 electrical.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2025-06-54/Addendum%201%20electrical.pdf,https://web.archive.org/web/20250803015922/https://www.copperascovetx.gov/files/finance/bid_requests/2025-06-54/Addendum%201%20electrical.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2025-06-54/Addendum%201%20electrical.pdf
HIGH,9,Contracts / Bids,2025,Addendum 1 mechanical.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2025-07-54/Addendum%201%20mechanical.pdf,https://web.archive.org/web/20250803020531/https://www.copperascovetx.gov/files/finance/bid_requests/2025-07-54/Addendum%201%20mechanical.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2025-07-54/Addendum%201%20mechanical.pdf
HIGH,9,Contracts / Bids,2025,Addendum 1.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2025-02-54/Addendum%201.pdf,https://web.archive.org/web/20250803014647/https://www.copperascovetx.gov/files/finance/bid_requests/2025-02-54/Addendum%201.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2025-02-54/Addendum%201.pdf
HIGH,9,Contracts / Bids,2025,Addendum 1.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2025-03-54/Addendum%201.pdf,https://web.archive.org/web/20250803022658/https://www.copperascovetx.gov/files/finance/bid_requests/2025-03-54/Addendum%201.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2025-03-54/Addendum%201.pdf
HIGH,9,Contracts / Bids,2025,Addendum 2 SENIOR CENTER 2025 10 54.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2025-10-54/Addendum%202-%20SENIOR%20CENTER%202025-10-54.pdf,https://web.archive.org/web/20250803023535/https://www.copperascovetx.gov/files/finance/bid_requests/2025-10-54/Addendum%202-%20SENIOR%20CENTER%202025-10-54.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2025-10-54/Addendum%202-%20SENIOR%20CENTER%202025-10-54.pdf
HIGH,9,Contracts / Bids,2025,Addendum 2 mechanical.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2025-07-54/Addendum%202%20mechanical.pdf,https://web.archive.org/web/20250803014859/https://www.copperascovetx.gov/files/finance/bid_requests/2025-07-54/Addendum%202%20mechanical.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2025-07-54/Addendum%202%20mechanical.pdf
HIGH,9,Contracts / Bids,2025,Addendum1.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2025-08-61/Addendum1.pdf,https://web.archive.org/web/20250803014942/https://www.copperascovetx.gov/files/finance/bid_requests/2025-08-61/Addendum1.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2025-08-61/Addendum1.pdf
HIGH,9,Contracts / Bids,2025,Addendum3 Copperas Cove Senior Center Site and Building Conformed thru Rev5 Drawings.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2025-10-54/Addendum3%20Copperas%20Cove%20Senior%20Center%20Site%20and%20Building%20Conformed%20thru%20Rev5%20Drawings.pdf,https://web.archive.org/web/20250803015025/https://www.copperascovetx.gov/files/finance/bid_requests/2025-10-54/Addendum3%20Copperas%20Cove%20Senior%20Center%20Site%20and%20Building%20Conformed%20thru%20Rev5%20Drawings.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2025-10-54/Addendum3%20Copperas%20Cove%20Senior%20Center%20Site%20and%20Building%20Conformed%20thru%20Rev5%20Drawings.pdf
HIGH,9,Contracts / Bids,2025,Advertisement for Bid Constitution Dr Reconstruction.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2023-01-53/Advertisement%20for%20Bid-Constitution%20Dr%20Reconstruction.pdf,https://web.archive.org/web/20250203020408/https://www.copperascovetx.gov/files/finance/bid_requests/2023-01-53/Advertisement%20for%20Bid-Constitution%20Dr%20Reconstruction.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2023-01-53/Advertisement%20for%20Bid-Constitution%20Dr%20Reconstruction.pdf
HIGH,9,Contracts / Bids,2025,Advertisement for Bids Eagle Trail.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2023-02-76/Advertisement%20for%20Bids-Eagle%20Trail.pdf,https://web.archive.org/web/20250203063102/https://www.copperascovetx.gov/files/finance/bid_requests/2023-02-76/Advertisement%20for%20Bids-Eagle%20Trail.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2023-02-76/Advertisement%20for%20Bids-Eagle%20Trail.pdf
HIGH,9,Contracts / Bids,2025,Advertisement for Bids Oak Hill Dr & Deer Flat Dr Project.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2024-04-53/Advertisement%20for%20Bids-Oak%20Hill%20Dr%20&%20Deer%20Flat%20Dr%20Project.pdf,https://web.archive.org/web/20250203060823/https://www.copperascovetx.gov/files/finance/bid_requests/2024-04-53/Advertisement%20for%20Bids-Oak%20Hill%20Dr%20&%20Deer%20Flat%20Dr%20Project.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2024-04-53/Advertisement%20for%20Bids-Oak%20Hill%20Dr%20&%20Deer%20Flat%20Dr%20Project.pdf
HIGH,9,Contracts / Bids,2025,Advertisement for Bids Ramblewood Estates.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2024-06-76/Advertisement%20for%20Bids-Ramblewood%20Estates.pdf,https://web.archive.org/web/20250803020334/https://www.copperascovetx.gov/files/finance/bid_requests/2024-06-76/Advertisement%20for%20Bids-Ramblewood%20Estates.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2024-06-76/Advertisement%20for%20Bids-Ramblewood%20Estates.pdf
HIGH,9,Contracts / Bids,2025,COPPERAS COVE FS3 RENOVATION ADDENDUM 3.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2025-01-44/COPPERAS%20COVE%20FS3%20RENOVATION%20-%20ADDENDUM%203.pdf,https://web.archive.org/web/20250803014516/https://www.copperascovetx.gov/files/finance/bid_requests/2025-01-44/COPPERAS%20COVE%20FS3%20RENOVATION%20-%20ADDENDUM%203.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2025-01-44/COPPERAS%20COVE%20FS3%20RENOVATION%20-%20ADDENDUM%203.pdf
HIGH,9,Contracts / Bids,2025,COPPERAS COVE FS3 RENOVATION ADDENDUM 4.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2025-01-44/COPPERAS%20COVE%20FS3%20RENOVATION%20-%20ADDENDUM%204.pdf,https://web.archive.org/web/20250803021828/https://www.copperascovetx.gov/files/finance/bid_requests/2025-01-44/COPPERAS%20COVE%20FS3%20RENOVATION%20-%20ADDENDUM%204.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2025-01-44/COPPERAS%20COVE%20FS3%20RENOVATION%20-%20ADDENDUM%204.pdf
HIGH,9,Contracts / Bids,2025,Copperas Cove FS3 Addition Renovation Bid Tabulation.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2025-01-44/Copperas%20Cove%20FS3%20Addition%20Renovation%20-%20Bid%20Tabulation.pdf,https://web.archive.org/web/20250803015843/https://www.copperascovetx.gov/files/finance/bid_requests/2025-01-44/Copperas%20Cove%20FS3%20Addition%20Renovation%20-%20Bid%20Tabulation.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2025-01-44/Copperas%20Cove%20FS3%20Addition%20Renovation%20-%20Bid%20Tabulation.pdf
HIGH,9,Contracts / Bids,2025,Courts Renovation Bid 2025 11 41.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2025-11-41/Courts%20Renovation%20Bid%202025-11-41.pdf,https://web.archive.org/web/20250803025708/https://www.copperascovetx.gov/files/finance/bid_requests/2025-11-41/Courts%20Renovation%20Bid%202025-11-41.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2025-11-41/Courts%20Renovation%20Bid%202025-11-41.pdf
HIGH,9,Contracts / Bids,2025,Electrical BID 2025 06 54.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2025-06-54/Electrical%20BID%202025-06-54.pdf,https://web.archive.org/web/20250803030913/https://www.copperascovetx.gov/files/finance/bid_requests/2025-06-54/Electrical%20BID%202025-06-54.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2025-06-54/Electrical%20BID%202025-06-54.pdf
HIGH,9,Contracts / Bids,2025,HY245032 Copperas Cove Senior Center Final GeoReport.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2025-03-54/HY245032%20Copperas%20Cove%20Senior%20Center%20Final%20GeoReport.pdf,https://web.archive.org/web/20250803020004/https://www.copperascovetx.gov/files/finance/bid_requests/2025-03-54/HY245032%20Copperas%20Cove%20Senior%20Center%20Final%20GeoReport.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2025-03-54/HY245032%20Copperas%20Cove%20Senior%20Center%20Final%20GeoReport.pdf
HIGH,9,Contracts / Bids,2025,PW2024 03 53.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2024-03-53/PW2024-03-53.pdf,https://web.archive.org/web/20250203025445/https://www.copperascovetx.gov/files/finance/bid_requests/2024-03-53/PW2024-03-53.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2024-03-53/PW2024-03-53.pdf
HIGH,9,Contracts / Bids,2025,RFB concrete walking trail. V3 final.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2025-02-54/RFB%20concrete%20walking%20trail.%20V3%20final.pdf,https://web.archive.org/web/20250803013827/https://www.copperascovetx.gov/files/finance/bid_requests/2025-02-54/RFB%20concrete%20walking%20trail.%20V3%20final.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2025-02-54/RFB%20concrete%20walking%20trail.%20V3%20final.pdf
